,Desc_P,Code_P,Desc_E,Code_E,Desc_F,Code_F
8186,Kotanyi - Szafran oryginalny,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Original saffron,"Salt, spices and culinary herbs",Kotanyi - safran original,"Sel, épices et herbes culinaires"
13302,AMI Noga z g?si wolno gotowana,Pozosta?e przetwory mi?sne,AMI Goose leg cooked slowly,Other meat preparations,Jambe d&#39;oie AMI cuite lentement,Autres préparations de viande
7296,Gellwe - Budy? waniliowy,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Gellwe - Vanilla pudding,Other food items not elsewhere classified,Gellwe - Pudding à la vanille,Autres produits alimentaires nca
6275,Bebiprima - Deser Jab?ko mango & brzoskwinia. Mus owocowy po 6...,?ywno?? dla dzieci,"Bebiprima - Dessert. Apple, mango &amp; peach. Fruit mousse after 6 ...",Food for children,"Bebiprima - Dessert, pomme, mangue et pêche. Mousse aux fruits après 6 ...",Nourriture pour les enfants
9919,SuperFish - Dorsz po Grecku,Pozosta?e przetwory z ryb i owoców morza,SuperFish - Cod in Greek,Other preparations of fish and seafood,SuperFish - Cod en grec,Autres préparations de poisson et de fruits de mer
13562,Kaminiarz Boczek w?dzony bli?niak 260 g,W?dliny,Kaminiarz Bacon smoked twin 260 g,meats,Kaminiarz Bacon fumé jumeau 260 g,viandes
13380,Balcerzak Duet smaków Zestaw w?dlin 100 g,W?dliny,Balcerzak Duo of flavors Set of cold cuts 100 g,meats,Balcerzak Duo of flavors Assortiment de charcuteries 100 g,viandes
5659,Ania - Bio herbatniki z czekolad? mini jungle,Pozosta?e wyroby piekarskie,Ania - Bio biscuits with mini jungle chocolate,Other bakery products,Ania - Biscuits Bio au mini chocolat Jungle,Autres produits de boulangerie
9293,Pi?tnica - Jogurt Pi?tu? typu greckiego waniliowy,Jogurt,Piatnica - Greek-style Piatus yogurt Vanilla,Yoghurt,Piatnica - Yaourt Piatus à la Grecque Vanille,yaourt
7223,Fini - Tennis gumy do ?ucia w kszta?cie pi?eczek do tenis...,Wyroby cukiernicze,Fini - Tennis chewing gums in the shape of tennis balls ...,Confectionery,Fini - Chewing-gums de tennis en forme de balles de tennis ...,Confiserie
2504,Makaron Pasta Reggia Pióro ,Makarony i produkty makaronowe,Pasta Reggia Feather,Pasta and pasta products,Pâtes Reggia Plume,Pâtes et macaronis
8865,Mokate - Kawa Cappucino waniliowe,Kawa,Mokate - Vanilla Cappucino Coffee,Coffee,Mokate - Café Cappucino Vanille,café
2840,Mleko ?aciate w proszku ,Mleko zag?szczone i w proszku,Powdered milk,Powdered and powdered milk,Lait en poudre,Lait condensé et en poudre
6979,Dole - Ananas kawa?ki puszka,Przetwory owocowe,Bottom - Pineapple pieces can,Fruit preserves,Fond - morceaux d&#39;ananas peuvent,Conserves de fruits
4318,Ser Hochland na gor?co z salami i chili plastry ,Sery i twarogi,Hot Hochland cheese with salami and chili slices,Cheese and curd,Fromage chaud du Hochland avec du salami et des tranches de chili,Fromage et caillé
1704,Kasza jaglana   i  ,M?ka i pozosta?e zbo?a,Millet and,Flour and other cereals,Millet et,Farine et autres céréales
4855,Sos ?owicz s?odko - kwa?ny Pikantny,"Sosy, przyprawy",?owicz sweet and sour sauce. Spicy,"Sauces, spices",?owicz sauce aigre-douce épicée,"Sauces, Epices"
16794,Ananas mix,Owoce suszone i orzechy,Pineapple mix,Dried fruits and nuts,Mélange d&#39;ananas,Fruits secs et noix
12619,Lindt Excellence 70% Cocoa Czekolada ciemna 100 g,Czekolada,Lindt Excellence 70% Cocoa Dark chocolate 100 g,Chocolate,Lindt Excellence Chocolat Noir 70% Cacao 100 g,chocolat
15015,W?oszczowa Serek wiejski 200 g,Sery i twarogi,Wloszczowa Cottage cheese 200 g,Cheese and curd,Fromage cottage Wloszczowa 200 g,Fromage et caillé
