,Desc_P,Code_P,Desc_E,Code_E,Desc_F,Code_F
13893,Perla Antipasti Zielone papryczki nadziewane serkiem 150 g,Warzywa suszone i pozosta?e przetwory warzywne,Perla Antipasti Green peppers stuffed with cheese 150 g,Dried vegetables and other vegetable preserves,Perla Antipasti Poivrons verts farcis au fromage 150 g,Légumes secs et autres préparations à base de légumes
15597,Jacobs Lungo Classico Kawa mielona w kapsu?kach 52 g (10 sztuk),Kawa,Jacobs Lungo Classico Ground coffee capsules 52 g (10 pieces),Coffee,Jacobs Lungo Classico Capsules de café moulu 52 g (10 pièces),café
11058,  Przyprawa do kebab gyros 30 g,"Sól, przyprawy korzenne i zio?a kulinarne",Gyros kebab spice 30 g,"Salt, spices and culinary herbs",Gyros Kebab Spice 30 g,"Sel, épices et herbes culinaires"
8277,"Kubu? - Sok marchew, brzoskwinia i jab?ko",Soki owocowe i warzywne,"Kubu? - Carrot, peach and apple juice",Fruit and vegetable juices,"Kubu? - Jus de carotte, de pêche et de pomme",Jus de fruits et de légumes
10655,Melvit Premium Trendy Lunch p?czak bulgur soczewica zielona 400 g (4 torebki),M?ka i pozosta?e zbo?a,Melvit Premium Trendy Lunch pearl barley bulgur green lentils 400 g (4 bags),Flour and other cereals,Melvit Premium Trendy Lunch perle d&#39;orge bulgur lentilles vertes 400 g (4 sacs),Farine et autres céréales
9346,    - Herbata zio?owa rumianek 20 szt,Herbata,- Chamomile herbal tea 20 pcs,Tea,- Tisane à la camomille 20 pcs,thé
12154,?owicz Konfitura extra z owocami le?nymi niskos?odzona 240 g,"D?emy, marmolady i miód","Lowicz Jam with extra sweet fruit, low sugar 240 g","Jams, marmalades and honey","Lowicz Confiture avec fruit extra doux, faible teneur en sucre 240 g","Confitures, marmelades et miel"
1042,Filety ?ledziowe Appel w ostrym Sosie z mango i chili,Pozosta?e przetwory z ryb i owoców morza,Appel herring fillets in a spicy mango and chili sauce,Other preparations of fish and seafood,Filets de harengs à la mangue et à la sauce chili,Autres préparations de poisson et de fruits de mer
16197,Herbapol Owocowa Spi?arnia Syrop pomara?cza 420 ml,Soki owocowe i warzywne,Herbapol Fruit Pantry Orange Syrup 420 ml,Fruit and vegetable juices,Herbapol Fruit Pantry Sirop orange 420 ml,Jus de fruits et de légumes
8195,Kotanyi - Zio?a provansalskie m?ynek,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Herbes de Provence grinder,"Salt, spices and culinary herbs",Kotanyi - Moulin à Herbes de Provence,"Sel, épices et herbes culinaires"
10205,"Vitax - Herbat zielona ekspresowa, 20t",Herbata,"Vitax - Express Green Tea, 20t",Tea,"Vitax - Thé vert Express, 20 t",thé
9009,Nescoré - Kawa rozpuszczalna z oligofruktoz? i cykori?.,Kawa,Nescoré - Instant coffee with oligofructose and chicory.,Coffee,Nescoré - Café instantané à l&#39;oligofructose et à la chicorée.,café
12455,Winiary Galaretka z piank? wi?niowy smak 72 g,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Winiary Jelly with foam cherry flavor 72 g,Other food items not elsewhere classified,Winiary Jelly à la mousse de cerise 72 g,Autres produits alimentaires nca
2439,Makaron Goliard gniazdka domowe ,Makarony i produkty makaronowe,Goliard pasta home outlets,Pasta and pasta products,Points de vente de pâtes Goliard,Pâtes et macaronis
14957,Lactima Smaki ?wiata Mix serów topionych 140 g (8 porcji),Sery i twarogi,Lactima Smaki ?wiata Mix processed cheese 140 g (8 servings),Cheese and curd,Lactima Smaki ?wiata Mix fromage fondu 140 g (8 portions),Fromage et caillé
5803,  - Kasza gryczana bia?a 4x100g,M?ka i pozosta?e zbo?a,- White buckwheat groats 4x100g,Flour and other cereals,- Gruau de sarrasin blanc 4x100g,Farine et autres céréales
3991,Pstr?g t?czowy ?ososiowy filet ze skór? ,Ryby ?wie?e lub ch?odzone,Rainbow trout salmon fillet with skin,Fresh or chilled fish,Filet de saumon à la truite arc-en-ciel avec peau,Poisson frais ou réfrigéré
16256,Powerade Mountain Blast Napój izotoniczny 500 ml,Napoje orze?wiaj?ce,Powerade Mountain Blast 500 ml isotonic drink,Refreshing drinks,Powerade Mountain Blast 500 ml de boisson isotonique,Boissons rafraîchissantes
15755,Ostromecko Naturalna woda mineralna niegazowana 500 ml,Wody mineralne lub ?ródlane,Ostromecko Natural still mineral water 500 ml,Mineral or spring waters,Ostromecko Eau minérale naturelle calme 500 ml,Eaux minérales ou sources
8147,Koral - Grand Gold lody waniliowe w mlecznej czekoladzie z...,Lody,Coral - Grand Gold vanilla ice cream in milk chocolate with ...,Ice cream,Coral - Glace vanille Grand Gold au chocolat au lait avec ...,crème glacée
11790,Pamapol Smalec z mi?sem 270 g,Pozosta?e przetwory mi?sne,Pamapol Lard with meat 270 g,Other meat preparations,Pamapol Lard à la viande 270 g,Autres préparations de viande
5801,  - Karkówka wieprzowa bez ko?ci,Mi?so wieprzowe,#NAME?,Pork meat,#NAME?,Viande de porc
3014,Napój Herbaciany wieloowocowy,Herbata,Multi-fruit tea drink,Tea,Boisson au thé multi-fruits,thé
11672,?owicz Pomidory ca?e bez skórki 400 g,Warzywa suszone i pozosta?e przetwory warzywne,?owicz Whole tomatoes without skin 400 g,Dried vegetables and other vegetable preserves,?owicz Tomates entières sans peau 400 g,Légumes secs et autres préparations à base de légumes
8906,"Motyl - Chrzan staropolski, tarty",Warzywa suszone i pozosta?e przetwory warzywne,"Butterfly - Old Polish horseradish, grated",Dried vegetables and other vegetable preserves,Papillon - Vieux raifort polonais râpé,Légumes secs et autres préparations à base de légumes
2522,Makaron Spaghetti Rustichella ,Makarony i produkty makaronowe,Rustichella Spaghetti,Pasta and pasta products,Rustichella Spaghetti,Pâtes et macaronis
9953,Szubryt - Kie?basa Staropolska - Konserwa sterylizowana wiep...,Pozosta?e przetwory mi?sne,Szubryt - Old Polish Sausage - Canned sterilized hog ...,Other meat preparations,Szubryt - Saucisses à l&#39;ancienne polonaises - Porc stérilisé ...,Autres préparations de viande
4842,Sos Knorr do pieczeni z cebulk?,"Sosy, przyprawy",Knorr sauce for roast with onions,"Sauces, spices",Knorr sauce pour rôti aux oignons,"Sauces, Epices"
4471,Ser topiony bloczek szczypiorek-cebula ,Sery i twarogi,"Cheese, processed onion and chives",Cheese and curd,"Fromage, oignons transformés et ciboulette",Fromage et caillé
6065,  - Szynka Prosciutto Cotto wieprzowa bezglutenowa,W?dliny,#NAME?,meats,#NAME?,viandes
4049,Rosó? Winiary drobiowo-warzywny ,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Chicken broth Winiary chicken and vegetable,Other food items not elsewhere classified,Bouillon de poulet poulet Winiary et légumes,Autres produits alimentaires nca
7862,JANEX - Skrzyde?ka z kurczaka,Mi?so drobiowe,JANEX - Chicken wings,Poultry meat,JANEX - Ailes de poulet,Viande de volaille
4256,Ser Edamski ,Sery i twarogi,Edam,Cheese and curd,Fromage edam,Fromage et caillé
10972,  Oliwa z oliwek 750 ml,Oliwa z oliwek,Olive oil 750 ml,olive oil,Huile d&#39;olive 750 ml,Huile d&#39;olive
1118,Flora pro-activ t?uszcz ro?linny 35% ,Margaryna i inne t?uszcze ro?linne,Flora pro-activ vegetable fat 35%,Margarine and other vegetable fats,Flora pro-activ graisse végétale 35%,Margarine et autres graisses végétales
13043,  Krakersy solone 180 g,Pozosta?e wyroby piekarskie,Salted crackers 180 g,Other bakery products,Craquelins salés 180 g,Autres produits de boulangerie
2490,Makaron Melissa Primo Gusto Bucatini no.5,Makarony i produkty makaronowe,Melissa Primo Gusto Bucatini pasta no.5,Pasta and pasta products,Melissa Primo Gusto Bucatini pâtes no.5,Pâtes et macaronis
14722,Mlekovita Favita Ser sa?atkowo-kanapkowy pó?t?usty 270 g,Sery i twarogi,Mlekovita Favita Semi-fat salad and sandwich cheese 270 g,Cheese and curd,Mlekovita Favita Salade semi-grasse et sandwich au fromage 270 g,Fromage et caillé
4930,Sól morska Kamis zio?owa,"Sól, przyprawy korzenne i zio?a kulinarne",Kamis herbal salt,"Salt, spices and culinary herbs",Kamis sel aux herbes,"Sel, épices et herbes culinaires"
6361,Blue Dragon - Sos Hoisin na patelni? lub woka,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Blue Dragon - Hoisin sauce for the pan or wok,Other food items not elsewhere classified,Blue Dragon - Sauce Hoisin pour la casserole ou le wok,Autres produits alimentaires nca
8505,Look Food - Sok z owoców ?urawiny 100%,Soki owocowe i warzywne,Look Food - 100% cranberry fruit juice,Fruit and vegetable juices,Look Food - Jus de fruits à la canneberge 100%,Jus de fruits et de légumes
15937,Gucio Napój wieloowocowy 4 x 200 ml,Soki owocowe i warzywne,Gucio Multifruit drink 4 x 200 ml,Fruit and vegetable juices,Gucio Boisson Multifruit 4 x 200 ml,Jus de fruits et de légumes
15279,"Herbapol Zielnik Polski Herbatka zio?owa pokrzywa 30 g (20 x 1,5 g)",Herbata,Herbapol Zielnik Polski Herbal tea nettle 30 g (20 x 1.5 g),Tea,"Herbapol Zielnik Polski ortie à thé aux herbes 30 g (20 x 1,5 g)",thé
6219,Barilla - Makaron kokardki farfalle,Makarony i produkty makaronowe,Barilla - Farfalle pasta bows,Pasta and pasta products,Barilla - Pâtes Farfalle,Pâtes et macaronis
5872,  - Migda?y kalifornijskie ?uskane,Owoce suszone i orzechy,#NAME?,Dried fruits and nuts,#NAME?,Fruits secs et noix
11857,Bonduelle Kukurydza Z?ocista 2 x 85 g,Warzywa suszone i pozosta?e przetwory warzywne,Bonduelle Golden Corn 2 x 85 g,Dried vegetables and other vegetable preserves,Bonduelle Golden Corn 2 x 85 g,Légumes secs et autres préparations à base de légumes
15768,?ywiec Zdrój Black Tea Napój niegazowany czarna herbata cytryna limonka 500 ml,Wody mineralne lub ?ródlane,?ywiec Zdrój Black Tea Non-carbonated drink black tea lemon lime 500 ml,Mineral or spring waters,?ywiec Zdrój Thé noir Boisson non gazeuse Thé noir citron citron vert 500 ml,Eaux minérales ou sources
1080,Filety z makreli w sosie pomidorowym King Oscar ,Pozosta?e przetwory z ryb i owoców morza,Mackerel fillets in King Oscar tomato sauce,Other preparations of fish and seafood,Filets de maquereaux à la sauce tomate King Oscar,Autres préparations de poisson et de fruits de mer
10061,"Toffifee - Orzech laskowy w karmelu, kremie orzechowym i czek... 3 x 125 g",Wyroby cukiernicze,"Toffifee - Hazelnut in caramel, nut cream and check ... 3 x 125 g",Confectionery,"Toffifee - Noisette au caramel, crème de noix et chèque ... 3 x 125 g",Confiserie
11087,Winiary Przyprawa do zup sosów sa?atek 1 kg,"Sól, przyprawy korzenne i zio?a kulinarne",Winiary Seasoning for soups salad sauces 1 kg,"Salt, spices and culinary herbs",Winiary Assaisonnement pour soupes sauces à salade 1 kg,"Sel, épices et herbes culinaires"
11239,Knorr Sos do spaghetti bolognese z pomidorami bazyli? i oregano 500 g,"Sosy, przyprawy",Knorr Spaghetti bolognese sauce with tomatoes basil and oregano 500 g,"Sauces, spices",Knorr Spaghetti sauce bolognaise avec tomates basilic et origan 500 g,"Sauces, Epices"
