,Desc_P,Code_P,Desc_E,Code_E,Desc_F,Code_F
2997,Napój gazowany Schweppes ginger ale ,Napoje orze?wiaj?ce,Carbonated drink Schweppes ginger ale,Refreshing drinks,Boisson gazeuse Schweppes au gingembre,Boissons rafraîchissantes
11351,  Value Musztarda sarepska 210 g,"Sosy, przyprawy",Value Mare mustard 210 g,"Sauces, spices",Valeur Mare moutarde 210 g,"Sauces, Epices"
10445,?ap-pol - Pol?dwica sopocka,W?dliny,?ap-pol - Sopot tenderloin,meats,?ap-pol - Filet Sopot,viandes
17024,Dorsz atlantycki filet bez skóry (200-350g),Ryby ?wie?e lub ch?odzone,Atlantic cod fillet without skin (200-350g),Fresh or chilled fish,Filet de morue franche sans peau (200-350g),Poisson frais ou réfrigéré
1091,Fix knorr danie orientalne z kurczakiem ,"Sosy, przyprawy",Fix knorr oriental dish with chicken,"Sauces, spices",Fix Knorr plat oriental avec du poulet,"Sauces, Epices"
12492,Petitki Biszkopty 120 g,Pozosta?e wyroby piekarskie,Petitki Biscuits 120 g,Other bakery products,Biscuits Petitki 120 g,Autres produits de boulangerie
7239,Flora - ProActiv t?uszcz ro?linny Zdrowe Serce + Wit. B1,Margaryna i inne t?uszcze ro?linne,Flora - ProActiv vegetable fat Healthy Heart + Vit. B1,Margarine and other vegetable fats,Flora - ProActiv graisse végétale Healthy Heart + Vit. B1,Margarine et autres graisses végétales
7605,HiPP - Herbatka natal wspomagaj?ca laktacj?,Herbata,HiPP - Natal tea supporting lactation,Tea,HiPP - Thé Natal soutenant la lactation,thé
13030,Chipsletten Po?udniowa papryka Chipsy ziemniaczane 100 g,Chipsy,Chipsletten Southern peppers Potato chips 100 g,Chips,Chipsletten Southern peppers Croustilles 100 g,chips
4445,Ser Skarby Serowara Szafir ,Sery i twarogi,Cheese Treasures of Serowar Szafir,Cheese and curd,Trésors au fromage de Serowar Szafir,Fromage et caillé
1130,Frytki Crunchy Wedges Mc Cain ,Ziemniaki,Crunchy Wedges Mc Cain fries,potatoes,Crunchy Wedges Mc Cain frites,pommes de terre
9275,Piekarnia Jutrzenka - Grahamka,Pieczywo,Dawn Bakery - Grahamka,Bread,Dawn Bakery - Grahamka,pain
2782,Miód wielokwiatowy ,"D?emy, marmolady i miód",Multiflower honey,"Jams, marmalades and honey",Miel à fleurs multiples,"Confitures, marmelades et miel"
5608,Akethai - S?odki sos chilli,"Sosy, przyprawy",Akethai - Sweet chilli sauce,"Sauces, spices",Akethai - sauce chili douce,"Sauces, Epices"
9358,    - Makaron nitka,Makarony i produkty makaronowe,#NAME?,Pasta and pasta products,#NAME?,Pâtes et macaronis
