Desc_P,Code_P,Desc_E,Code_E,Desc_F,Code_F
owsianka brzoskwiniowa,Pozosta?e produkty mleczne,Peach Porridge,Other dairy products,Bouillie de pêche,Autres produits laitiers
Owsianka Truskawkowa Mlekovita,Pozosta?e produkty mleczne,Mlekovita Strawberry Porridge,Other dairy products,Bouillie de fraises Mlekovita,Autres produits laitiers
Owsianka wi?niowa,Pozosta?e produkty mleczne,Cherry Porridge,Other dairy products,Bouillie de cerise,Autres produits laitiers
Owsianka Truskawkowa Mlekovita,Pozosta?e produkty mleczne,Mlekovita Strawberry Porridge,Other dairy products,Bouillie de fraises Mlekovita,Autres produits laitiers
sa?atka z batatów,Pozosta?e warzywa bulwiaste i przetwory z warzyw bulwiastych,sweet potato salad,Other tuber vegetables and preparations of tuber vegetables,salade de patates douces,Autres légumes à légumes et préparations à base de légumes à tubercules
sa?atka ziemniaczana z burakami,Ziemniaki,potato salad with beets,potatoes,salade de pommes de terre aux betteraves,pommes de terre
sa?atka ziemniaczana Kuchnia Polki,Ziemniaki,potato salad Polish cuisine,potatoes,salade de pommes de terre cuisine polonaise,pommes de terre
sa?atka z batatów,Pozosta?e warzywa bulwiaste i przetwory z warzyw bulwiastych,sweet potato salad,Other tuber vegetables and preparations of tuber vegetables,salade de patates douces,Autres légumes à légumes et préparations à base de légumes à tubercules
sa?atka ziemniaczana z burakami,Ziemniaki,potato salad with beets,potatoes,salade de pommes de terre aux betteraves,pommes de terre
sa?atka ziemniaczana Kuchnia Polki,Ziemniaki,potato salad Polish cuisine,potatoes,salade de pommes de terre cuisine polonaise,pommes de terre
"""s?ynne ro?linne"" ",Margaryna i inne t?uszcze ro?linne,&quot;famous vegetable&quot;,Margarine and other vegetable fats,&quot;légume célèbre&quot;,Margarine et autres graisses végétales
100% z brzoskwi? produkt owocowy s?odzony zag.sokiem winogronowym ,"D?emy, marmolady i miód",100% peach fruit product sweetened with grape juice,"Jams, marmalades and honey",Produit 100% pêche aux fruits sucré avec du jus de raisin,"Confitures, marmelades et miel"
100% z czarnych porzeczek produkt owocowy s?odzony zag.sokiem winogronowym,"D?emy, marmolady i miód",100% black currant fruit product sweetened with grape juice,"Jams, marmalades and honey",Produit à base de fruits de cassis 100% sucré avec du jus de raisin,"Confitures, marmelades et miel"
4Move Lemon napój izotoniczny,Napoje orze?wiaj?ce,4Move Lemon isotonic drink,Refreshing drinks,Boisson isotonique au citron 4Move,Boissons rafraîchissantes
4Move Multi Fruit Zero ,Napoje orze?wiaj?ce,4Move Multi Fruit Zero,Refreshing drinks,4Move Multi Fruit Zero,Boissons rafraîchissantes
4Move Multifruit napój izotoniczny,Napoje orze?wiaj?ce,4Move Multifruit isotonic drink,Refreshing drinks,Boisson isotonique Multifruit 4Move,Boissons rafraîchissantes
4Move Orange napój izotoniczny ,Napoje orze?wiaj?ce,4Move Orange isotonic drink,Refreshing drinks,4Move Orange boisson isotonique,Boissons rafraîchissantes
4Move Water napój izotoniczny,Napoje orze?wiaj?ce,4Move Water isotonic drink,Refreshing drinks,4Move Water boisson isotonique,Boissons rafraîchissantes
7 Days Croissant z nadzieniem o smaku spumante ,Pozosta?e wyroby piekarskie,7 Days Croissant with spumante flavor filling,Other bakery products,Croissant 7 jours avec garniture spumante,Autres produits de boulangerie
